regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
length_bucket,medium,SAND | Alpha 0.7,50,0.9395640759349692,0.3083045649783956,0.29744788795742766,0.29744788795742766,9.794849306001561
length_bucket,medium,SAND | k = 3,50,0.9329685804410505,0.312633858900561,0.29488543368825826,0.29488543368825826,5.256865077995462
length_bucket,medium,Matrix Profile | Subseq x1,50,0.9479144627089185,0.3423242409718761,0.2735687310316525,0.2735687310316525,0.12040381600265392
length_bucket,medium,SAND | Batch 1000,50,0.9264608526617938,0.2593885657201799,0.2527409194274301,0.2527409194274301,10.388163536003558
length_bucket,medium,Matrix Profile | Baseline,50,0.9324195831469964,0.2841498685055629,0.24924887762271705,0.24924887762271705,0.11255794999888166
length_bucket,medium,OCSVM | Gamma 0.1,50,0.6848405132868232,0.24262563984295227,0.2094776691187268,0.2094776691187268,0.11020391799742356
length_bucket,medium,Matrix Profile | Subseq x4,50,0.886652779870893,0.24681598816688732,0.18873844468511397,0.18873844468511397,0.123975789998658
length_bucket,medium,Isolation Forest | Seed 7,50,0.7522367647151387,0.19814614126704255,0.18761434012411488,0.18761434012411488,0.535058016005205
length_bucket,medium,DAMP | x_lag x8,50,0.8598104760852783,0.21708779372746637,0.18550012299950802,0.18550012299950802,19.079413492003223
length_bucket,medium,Isolation Forest | Max feat 0.6,50,0.7395337282984126,0.200002963406666,0.18520058051442065,0.18520058051442065,1.4223561279976276
length_bucket,medium,Isolation Forest | Trees 400,50,0.7391876479381342,0.20147354440862614,0.18169818897562817,0.18169818897562817,1.0425312540039886
length_bucket,medium,DAMP | Baseline,50,0.8638624525805461,0.20726016199530978,0.17818840231092017,0.17818840231092017,15.8575829599984
length_bucket,medium,OCSVM | Train frac 0.20,50,0.7170337720498283,0.205645839551982,0.17714410626672664,0.17714410626672664,0.14030610799789428
length_bucket,medium,DAMP | Start x2,50,0.8903664888328083,0.20307766707223832,0.17394922447535743,0.17394922447535743,19.586006570003228
length_bucket,medium,OCSVM | Baseline,50,0.7267299826263377,0.19971972015311668,0.17274711523435848,0.17274711523435848,0.09215558000141755
length_bucket,medium,OCSVM | Nu 0.10,50,0.7258406001241802,0.198472011882244,0.1716288165933202,0.1716288165933202,0.12008126000408083
length_bucket,medium,Isolation Forest | Bootstrap on,50,0.7401928521533883,0.2019388212743946,0.1697507499841494,0.1697507499841494,0.5020563880051486
length_bucket,medium,Local Outlier Factor | Baseline,50,0.824061590988025,0.22532923678932634,0.16750252581753128,0.16750252581753128,0.22642987399827688
length_bucket,medium,Local Outlier Factor | Leaf size 60,50,0.824061590988025,0.22532923678932634,0.16750252581753128,0.16750252581753128,0.16685318799922244
length_bucket,medium,Local Outlier Factor | Search brute,50,0.824061590988025,0.22532923678932634,0.16750252581753128,0.16750252581753128,0.16850105199846438
