-------> THIS IS THE IForest METHOD REPORT <----------

fileName:048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085, AUC:0.57, R_AUC:0.7, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11063, fn_count:98, fp_count:173, tp_count:0, elapsed_time:0.47112107276916504 seconds
fileName:049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380, AUC:0.43, R_AUC:0.77, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11241, fn_count:16, fp_count:149, tp_count:0, elapsed_time:0.4515397548675537 seconds
fileName:050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085, AUC:0.72, R_AUC:0.65, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11087, fn_count:98, fp_count:123, tp_count:0, elapsed_time:0.4481518268585205 seconds
fileName:051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340, AUC:0.49, R_AUC:0.57, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11291, fn_count:11, fp_count:86, tp_count:0, elapsed_time:0.4373190402984619 seconds
fileName:052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809, AUC:0.45, R_AUC:0.63, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11176, fn_count:99, fp_count:33, tp_count:0, elapsed_time:0.4629690647125244 seconds
fileName:053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995, AUC:0.07, R_AUC:0.2, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:6445, fn_count:232, fp_count:7, tp_count:0, elapsed_time:0.3656737804412842 seconds
fileName:054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979, AUC:1.00, R_AUC:1.0, Precision:0.49, Recall:1.00, F:0.66, ExistenceReward:1.00, OverlapReward:1.00, AP:0.72, R_AP:0.99, Precisionk:1.00, R_precision:0.49, R_recall:1.00, R_f:0.66, tn_count:6561, fn_count:0, fp_count:63, tp_count:60, elapsed_time:0.35519909858703613 seconds
fileName:055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100, AUC:0.75, R_AUC:0.79, Precision:0.03, Recall:0.32, F:0.05, ExistenceReward:1.00, OverlapReward:0.32, AP:0.05, R_AP:0.06, Precisionk:0.32, R_precision:0.01, R_recall:0.46, R_f:0.02, tn_count:36753, fn_count:102, fp_count:1597, tp_count:49, elapsed_time:0.7618892192840576 seconds
fileName:056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211, AUC:0.63, R_AUC:0.65, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:36686, fn_count:101, fp_count:1592, tp_count:0, elapsed_time:0.7650516033172607 seconds
fileName:057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100, AUC:0.16, R_AUC:0.26, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:36685, fn_count:101, fp_count:1483, tp_count:0, elapsed_time:0.7646164894104004 seconds
fileName:058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308, AUC:0.55, R_AUC:0.5, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:36739, fn_count:69, fp_count:1693, tp_count:0, elapsed_time:0.7677762508392334 seconds
fileName:059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800, AUC:0.55, R_AUC:0.67, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:64496, fn_count:301, fp_count:203, tp_count:0, elapsed_time:1.3127617835998535 seconds
fileName:060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800, AUC:0.66, R_AUC:0.78, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:64697, fn_count:301, fp_count:2, tp_count:0, elapsed_time:1.353102445602417 seconds
fileName:061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500, AUC:0.53, R_AUC:0.6, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:64229, fn_count:601, fp_count:170, tp_count:0, elapsed_time:1.3225383758544922 seconds
fileName:062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180, AUC:0.70, R_AUC:0.76, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:63872, fn_count:111, fp_count:17, tp_count:0, elapsed_time:1.2891991138458252 seconds
fileName:063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850, AUC:0.62, R_AUC:0.62, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:63279, fn_count:651, fp_count:70, tp_count:0, elapsed_time:1.2679786682128906 seconds
fileName:064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200, AUC:0.82, R_AUC:0.83, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.05, R_AP:0.05, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:63150, fn_count:801, fp_count:49, tp_count:0, elapsed_time:1.4249978065490723 seconds
fileName:065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030, AUC:0.93, R_AUC:0.9, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:9835, fn_count:31, fp_count:135, tp_count:0, elapsed_time:0.4575018882751465 seconds
fileName:066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025, AUC:0.98, R_AUC:0.91, Precision:0.13, Recall:0.85, F:0.23, ExistenceReward:1.00, OverlapReward:0.85, AP:0.13, R_AP:0.09, Precisionk:0.85, R_precision:0.03, R_recall:0.88, R_f:0.06, tn_count:9829, fn_count:4, fp_count:143, tp_count:22, elapsed_time:0.41898202896118164 seconds
fileName:067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050, AUC:0.90, R_AUC:0.9, Precision:0.01, Recall:0.02, F:0.01, ExistenceReward:1.00, OverlapReward:0.02, AP:0.03, R_AP:0.03, Precisionk:0.02, R_precision:0.03, R_recall:0.22, R_f:0.06, tn_count:9820, fn_count:50, fp_count:127, tp_count:1, elapsed_time:0.4375638961791992 seconds
