-------> THIS IS THE SAND METHOD REPORT <----------

fileName:049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380, AUC:0.92, R_AUC:0.92, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11281, fn_count:16, fp_count:109, tp_count:0, elapsed_time:5.770864725112915 seconds
fileName:050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085, AUC:0.87, R_AUC:0.84, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.03, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11019, fn_count:98, fp_count:191, tp_count:0, elapsed_time:2.5540273189544678 seconds
fileName:051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340, AUC:1.00, R_AUC:1.0, Precision:0.06, Recall:1.00, F:0.12, ExistenceReward:1.00, OverlapReward:1.00, AP:0.87, R_AP:0.95, Precisionk:1.00, R_precision:0.05, R_recall:1.00, R_f:0.10, tn_count:11216, fn_count:0, fp_count:161, tp_count:11, elapsed_time:2.5638561248779297 seconds
fileName:052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809, AUC:1.00, R_AUC:1.0, Precision:0.50, Recall:1.00, F:0.67, ExistenceReward:1.00, OverlapReward:1.00, AP:0.77, R_AP:0.99, Precisionk:1.00, R_precision:0.50, R_recall:1.00, R_f:0.67, tn_count:11111, fn_count:0, fp_count:98, tp_count:99, elapsed_time:2.6431689262390137 seconds
fileName:053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995, AUC:0.74, R_AUC:0.72, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.06, R_AP:0.06, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:6452, fn_count:232, fp_count:0, tp_count:0, elapsed_time:0.8484842777252197 seconds
fileName:054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979, AUC:0.99, R_AUC:0.99, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.34, R_AP:0.8, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:6624, fn_count:60, fp_count:0, tp_count:0, elapsed_time:19.784600734710693 seconds
fileName:055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100, AUC:0.86, R_AUC:0.85, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.03, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:38237, fn_count:151, fp_count:113, tp_count:0, elapsed_time:19.479230165481567 seconds
fileName:056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211, AUC:0.92, R_AUC:0.92, Precision:0.15, Recall:0.33, F:0.20, ExistenceReward:1.00, OverlapReward:0.33, AP:0.24, R_AP:0.18, Precisionk:0.33, R_precision:0.07, R_recall:0.46, R_f:0.12, tn_count:38088, fn_count:68, fp_count:190, tp_count:33, elapsed_time:30.045205116271973 seconds
fileName:057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100, AUC:0.89, R_AUC:0.87, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:38000, fn_count:101, fp_count:168, tp_count:0, elapsed_time:31.581079244613647 seconds
fileName:058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308, AUC:0.99, R_AUC:0.99, Precision:0.42, Recall:0.59, F:0.49, ExistenceReward:1.00, OverlapReward:0.59, AP:0.61, R_AP:0.38, Precisionk:0.59, R_precision:0.11, R_recall:0.68, R_f:0.19, tn_count:38375, fn_count:28, fp_count:57, tp_count:41, elapsed_time:27.87445044517517 seconds
