-------> THIS IS THE LOF METHOD REPORT <----------

fileName:057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100, AUC:0.87, R_AUC:0.91, Precision:0.06, Recall:0.43, F:0.11, ExistenceReward:1.00, OverlapReward:0.11, AP:0.09, R_AP:0.04, Precisionk:0.43, R_precision:0.03, R_recall:0.29, R_f:0.06, tn_count:37535, fn_count:58, fp_count:633, tp_count:43, elapsed_time:2.0086288452148438 seconds
fileName:058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308, AUC:1.00, R_AUC:0.99, Precision:0.53, Recall:0.87, F:0.66, ExistenceReward:1.00, OverlapReward:0.87, AP:0.85, R_AP:0.61, Precisionk:0.87, R_precision:0.15, R_recall:0.90, R_f:0.25, tn_count:38379, fn_count:9, fp_count:53, tp_count:60, elapsed_time:2.1419107913970947 seconds
fileName:059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800, AUC:0.63, R_AUC:0.67, Precision:0.01, Recall:0.02, F:0.01, ExistenceReward:1.00, OverlapReward:0.02, AP:0.01, R_AP:0.01, Precisionk:0.02, R_precision:0.01, R_recall:0.22, R_f:0.02, tn_count:63402, fn_count:294, fp_count:1297, tp_count:7, elapsed_time:8.241504669189453 seconds
fileName:060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800, AUC:0.79, R_AUC:0.83, Precision:0.10, Recall:0.41, F:0.16, ExistenceReward:1.00, OverlapReward:0.14, AP:0.13, R_AP:0.06, Precisionk:0.41, R_precision:0.03, R_recall:0.31, R_f:0.05, tn_count:63611, fn_count:177, fp_count:1088, tp_count:124, elapsed_time:8.118637323379517 seconds
fileName:061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500, AUC:0.57, R_AUC:0.6, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:63192, fn_count:601, fp_count:1207, tp_count:0, elapsed_time:8.677352666854858 seconds
fileName:062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180, AUC:0.99, R_AUC:1.0, Precision:0.08, Recall:0.77, F:0.15, ExistenceReward:1.00, OverlapReward:0.39, AP:0.32, R_AP:0.53, Precisionk:0.77, R_precision:0.02, R_recall:0.51, R_f:0.04, tn_count:62942, fn_count:25, fp_count:947, tp_count:86, elapsed_time:8.115885734558105 seconds
fileName:063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850, AUC:0.92, R_AUC:0.94, Precision:0.24, Recall:0.45, F:0.31, ExistenceReward:1.00, OverlapReward:0.06, AP:0.34, R_AP:0.41, Precisionk:0.45, R_precision:0.08, R_recall:0.25, R_f:0.12, tn_count:62398, fn_count:356, fp_count:951, tp_count:295, elapsed_time:8.01287031173706 seconds
fileName:064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200, AUC:0.84, R_AUC:0.87, Precision:0.34, Recall:0.39, F:0.37, ExistenceReward:1.00, OverlapReward:0.08, AP:0.33, R_AP:0.42, Precisionk:0.39, R_precision:0.10, R_recall:0.26, R_f:0.15, tn_count:62606, fn_count:489, fp_count:593, tp_count:312, elapsed_time:8.400352001190186 seconds
fileName:065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030, AUC:0.99, R_AUC:0.96, Precision:0.10, Recall:0.74, F:0.17, ExistenceReward:1.00, OverlapReward:0.74, AP:0.58, R_AP:0.4, Precisionk:0.74, R_precision:0.03, R_recall:0.79, R_f:0.05, tn_count:9756, fn_count:8, fp_count:214, tp_count:23, elapsed_time:0.3298027515411377 seconds
fileName:066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025, AUC:1.00, R_AUC:1.0, Precision:0.13, Recall:1.00, F:0.23, ExistenceReward:1.00, OverlapReward:1.00, AP:0.87, R_AP:0.86, Precisionk:1.00, R_precision:0.02, R_recall:1.00, R_f:0.05, tn_count:9802, fn_count:0, fp_count:170, tp_count:26, elapsed_time:0.28974199295043945 seconds
fileName:067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050, AUC:0.96, R_AUC:0.95, Precision:0.11, Recall:0.59, F:0.18, ExistenceReward:1.00, OverlapReward:0.59, AP:0.12, R_AP:0.09, Precisionk:0.59, R_precision:0.03, R_recall:0.67, R_f:0.06, tn_count:9693, fn_count:21, fp_count:254, tp_count:30, elapsed_time:0.3201613426208496 seconds
