family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
ECG,Isolation Forest | Max samples auto,Density-based,Tree,range,15,0.35275151244002917,0.03001980014214414,0.036133301688546074,0.036133301688546074,0.5785408388532792,0.9727719614179068,0.9147899200053264
ECG,Isolation Forest | Bootstrap on,Density-based,Tree,range,15,0.34774763386420077,0.029959667295414032,0.03542822902048748,0.03542822902048748,0.5822617870965042,0.9730025150181173,0.8163051266650049
ECG,Isolation Forest | Seed 7,Density-based,Tree,range,15,0.36926249709255704,0.03393238298450189,0.033660322523114024,0.033660322523114024,0.5728609245032711,0.9619302932422958,0.9199737599973257
ECG,OCSVM | Kernel linear,Density-based,Distribution,range,15,0.06244209920211814,0.0,0.0,0.0,0.9021423076923077,0.39831999999999995,0.23101581999799234
Lab2Cmac011215EPG,SAND | Batch 1000,Distance-based,Clustering,range,14,0.949505248359942,0.31148120374950056,0.12798464439926577,0.12798464439926577,0.5333612809211676,0.9996902816818924,13.684426085707466
Lab2Cmac011215EPG,SAND | Baseline,Distance-based,Clustering,range,14,0.9540586011687957,0.357189686330848,0.12008768997432297,0.12008768997432297,0.5688671242924795,0.9997868233040499,10.583200500001633
Lab2Cmac011215EPG,SAND | k = 3,Distance-based,Clustering,range,14,0.9513934199784887,0.36963963246122855,0.11761902496645857,0.11761902496645857,0.5596967591631025,0.9997695301228384,7.26182274286735
Lab2Cmac011215EPG,SAND | Init 3000,Distance-based,Clustering,range,14,0.9522426780470589,0.3531148477226734,0.11688604206076589,0.11688604206076589,0.5378649972849617,0.999777776150865,10.59479202141769
Lab2Cmac011215EPG,SAND | Overlap 64,Distance-based,Clustering,range,14,0.9533479875329416,0.3484599864901067,0.11338919122403789,0.11338919122403789,0.5693920388495419,0.9997863786659336,6.198932007138085
Lab2Cmac011215EPG,SAND | Alpha 0.7,Distance-based,Clustering,range,14,0.9512096130268562,0.32595606587220105,0.11150809069489842,0.11150809069489842,0.5630531699467719,0.9997399369200929,10.788538514287211
Lab2Cmac011215EPG,SAND | Subseq x2,Distance-based,Clustering,range,14,0.962352133503105,0.36328673897167085,0.10754994102437224,0.10754994102437224,0.5704721642958059,0.9998119164369952,6.538234328568381
Lab2Cmac011215EPG,HBOS | Baseline,Density-based,Distribution,range,14,0.679078749660377,0.23839495598006208,0.10072294440875655,0.10072294440875655,0.49538774968048277,0.9938517255482111,0.3586784714259141
Lab2Cmac011215EPG,HBOS | Tol 0.2,Density-based,Distribution,range,14,0.679078749660377,0.23839495598006208,0.10072294440875655,0.10072294440875655,0.49538774968048277,0.9938517255482111,0.36133468571850763
Lab2Cmac011215EPG,HBOS | Bins 20,Density-based,Distribution,range,14,0.6816754412883335,0.2723018602188158,0.0930242346871523,0.0930242346871523,0.5213359071723686,0.9937650407681913,0.3605553642846644
Lab2Cmac011215EPG,HBOS | Alpha 0.05,Density-based,Distribution,range,14,0.6766177849773906,0.23771810357329007,0.09257619079002181,0.09257619079002181,0.49714132723861715,0.993824372908647,0.35883145714511294
Lab2Cmac011215EPG,PCA | Standardize off,Density-based,Encoding,range,14,0.58090959893341,0.28741581574782415,0.08898575056867586,0.08898575056867586,0.6011545836863297,0.9916500519067528,0.027373728579342584
Lab2Cmac011215EPG,PCA | Baseline,Density-based,Encoding,range,14,0.5809492429089177,0.2873770499647468,0.0882487346285494,0.0882487346285494,0.601380098050775,0.991640549003616,0.04041806428410506
Lab2Cmac011215EPG,PCA | Whiten on,Density-based,Encoding,range,14,0.5809492429089177,0.2873770499647468,0.0882487346285494,0.0882487346285494,0.601380098050775,0.991640549003616,0.03942649999849628
Lab2Cmac011215EPG,PCA | Components 0.95,Density-based,Encoding,range,14,0.5812860857547012,0.28731111533748793,0.08764612444857398,0.08764612444857398,0.5908483309890887,0.9916567273774322,0.027569492854776608
Lab2Cmac011215EPG,PCA | Weighted off,Density-based,Encoding,range,14,0.5811474418391128,0.28330389257973504,0.08552923233063979,0.08552923233063979,0.5920211382729874,0.9916493932583375,0.038648664286093995
Lab2Cmac011215EPG,PCA | Score comps 2,Density-based,Encoding,range,14,0.5809511076092934,0.28531359314641885,0.0838922051391523,0.0838922051391523,0.6008557951518375,0.9916453004551844,0.024714021423798256
Lab2Cmac011215EPG,Matrix Profile | Subseq x4,Distance-based,Discord,range,14,0.8681451731007737,0.16723291250446648,0.07326379051816254,0.07326379051816254,0.6034089210451394,0.9995818474962468,0.520086864283907
Lab2Cmac011215EPG,Local Outlier Factor | Neighbors 10,Distance-based,Proximity,range,14,0.7140471783014437,0.2348504003084699,0.06429044918027323,0.06429044918027323,0.5199595657104837,0.9919450277714539,0.84459457857052
Lab2Cmac011215EPG,Local Outlier Factor | Baseline,Distance-based,Proximity,range,14,0.8027643262810761,0.23844681572569673,0.06235891849728671,0.06235891849728671,0.5332875334795989,0.9963509780947329,0.8230989642906934
Lab2Cmac011215EPG,Local Outlier Factor | Leaf size 60,Distance-based,Proximity,range,14,0.8027643262810761,0.23844681572569673,0.06235891849728671,0.06235891849728671,0.5332875334795989,0.9963509780947329,0.833928585713563
Lab2Cmac011215EPG,Local Outlier Factor | Search brute,Distance-based,Proximity,range,14,0.8027643262810761,0.23844681572569673,0.06235891849728671,0.06235891849728671,0.5332875334795989,0.9963509780947329,0.8360677285693653
Lab2Cmac011215EPG,OCSVM | Kernel linear,Density-based,Distribution,range,14,0.6265049109972834,0.11348937668899002,0.06233390024809744,0.06233390024809744,0.4214720431709374,0.9720098992970148,0.09440760000143196
Lab2Cmac011215EPG,OCSVM | Train frac 0.20,Density-based,Distribution,range,14,0.8095630690227559,0.21504461438069253,0.061970044258223285,0.061970044258223285,0.6259578557180233,0.999519873372264,0.8120702642814389
Lab2Cmac011215EPG,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,14,0.7999020071756162,0.2258934717653309,0.06166475768550209,0.06166475768550209,0.5315845634412013,0.9962333533685236,4.06453643570837
Lab2Cmac011215EPG,Local Outlier Factor | p = 1,Distance-based,Proximity,range,14,0.7999020071756162,0.2258934717653309,0.06166475768550209,0.06166475768550209,0.5315845634412013,0.9962333533685236,4.04345206429051
Lab2Cmac011215EPG,DAMP | Start x2,Distance-based,Discord,range,14,0.7104896113846462,0.04615188833750144,0.06034622981897408,0.06034622981897408,0.6790473994629783,0.8312837611746079,14.039130478561024
Lab2Cmac011215EPG,OCSVM | Baseline,Density-based,Distribution,range,14,0.8102266204202746,0.20745605009404994,0.054838937925179985,0.054838937925179985,0.6216815539477236,0.9995771313448399,0.44087450000889866
