dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_evaluation_f1
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,166,1,sigma,3.0,range,0.7651515151515151
016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,166,1,sigma,3.0,range,0.8762583222370173
017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,166,1,sigma,3.0,range,0.7453874538745386
018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,166,1,sigma,3.0,range,0.7468304426572854
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,218,1,sigma,3.0,range,0.5
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,218,1,sigma,3.0,range,0.8086851873824094
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,218,1,sigma,3.0,range,0.609271523178808
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,218,1,sigma,3.0,range,0.7125748502994012
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,218,1,sigma,3.0,range,0.7553956834532374
024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556,sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,154,1,sigma,3.0,range,0.5894216381497625
025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,154,1,sigma,3.0,range,0.327485380116959
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,173,1,sigma,3.0,range,0.7950338740113635
027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Seed 7,Seed 7,183,1,sigma,3.0,range,0.1847826086956521
